,city
234,Groningen
235,Groningen
236,Groningen
237,Groningen
238,Groningen
239,Prague (I)
240,Prague (I)
241,Prague (I)
242,Prague (I)
243,Prague (I)
244,Prague (I)
245,Prague (I)
246,Prague (I)
247,Prague (I)
248,Prague (I)
249,Prague (I)
250,Prague (I)
251,Prague (I)
252,Prague (I)
253,Prague (I)
254,Prague (I)
255,Prague (I)
256,Brno
257,Brno
258,Brno
259,Brno
260,Brno
261,Brno
262,Brno
263,Brno
264,Brno
265,Brno
266,Brno
267,Brno
268,Brno
269,Brno
270,Brno
271,Brno
272,Brno
273,Ostrava
274,Ostrava
275,Ostrava
276,Ostrava
277,Ostrava
278,Ostrava
279,Ostrava
280,Ostrava
281,Ostrava
282,Ostrava
283,Ostrava
284,Ostrava
285,Ostrava
286,Ostrava
287,Ostrava
288,Ostrava
289,Ostrava
290,Prague (II)
291,Prague (II)
292,Prague (II)
293,Prague (II)
294,Prague (II)
295,Prague (II)
296,Prague (II)
297,Prague (II)
298,Prague (II)
299,Prague (II)
300,Prague (II)
301,Prague (II)
302,Prague (II)
303,Prague (II)
304,Prague (II)
305,Prague (II)
306,Prague (II)
307,Copenhagen (I)
308,Copenhagen (I)
309,Copenhagen (I)
310,Copenhagen (I)
311,Copenhagen (I)
312,Copenhagen (I)
313,Copenhagen (I)
314,Copenhagen (I)
315,Copenhagen (I)
316,Copenhagen (I)
317,Copenhagen (I)
318,Copenhagen (I)
319,Copenhagen (I)
320,Copenhagen (I)
321,Copenhagen (I)
322,Copenhagen (I)
323,Copenhagen (I)
324,Copenhagen (II)
325,Copenhagen (II)
326,Copenhagen (II)
327,Copenhagen (II)
328,Copenhagen (II)
329,Copenhagen (II)
330,Copenhagen (II)
331,Copenhagen (II)
332,Copenhagen (II)
333,Copenhagen (II)
334,Copenhagen (II)
335,Copenhagen (II)
336,Copenhagen (II)
337,Copenhagen (II)
338,Copenhagen (II)
339,Copenhagen (II)
340,Copenhagen (II)
341,Aalborg (I)
342,Aalborg (I)
343,Aalborg (I)
344,Aalborg (I)
345,Aalborg (I)
346,Aalborg (I)
347,Aalborg (I)
348,Aalborg (I)
349,Aalborg (I)
350,Aalborg (I)
351,Aalborg (I)
352,Aalborg (I)
353,Aalborg (I)
354,Aalborg (I)
355,Aalborg (I)
356,Aalborg (I)
357,Aalborg (I)
358,Aalborg (II)
359,Aalborg (II)
360,Aalborg (II)
361,Aalborg (II)
362,Aalborg (II)
363,Aalborg (II)
364,Aalborg (II)
365,Aalborg (II)
366,Aalborg (II)
367,Aalborg (II)
368,Aalborg (II)
369,Aalborg (II)
370,Aalborg (II)
371,Aalborg (II)
372,Aalborg (II)
373,Aalborg (II)
374,Aalborg (II)
375,Madrid (I)
376,Madrid (I)
377,Madrid (I)
378,Madrid (I)
379,Madrid (I)
380,Madrid (I)
381,Madrid (I)
382,Madrid (I)
383,Madrid (I)
384,Madrid (I)
385,Madrid (I)
386,Madrid (I)
387,Madrid (I)
388,Madrid (I)
389,Madrid (I)
390,Madrid (I)
391,Madrid (I)
392,Madrid (II)
393,Madrid (II)
394,Madrid (II)
395,Madrid (II)
396,Madrid (II)
397,Madrid (II)
398,Madrid (II)
399,Madrid (II)
400,Madrid (II)
401,Madrid (II)
402,Madrid (II)
403,Madrid (II)
404,Madrid (II)
405,Madrid (II)
406,Madrid (II)
407,Madrid (II)
408,Madrid (II)
409,Barcelona (I)
410,Barcelona (I)
411,Barcelona (I)
412,Barcelona (I)
413,Barcelona (I)
414,Barcelona (I)
415,Barcelona (I)
416,Barcelona (I)
417,Barcelona (I)
418,Barcelona (I)
419,Barcelona (I)
420,Barcelona (I)
421,Barcelona (I)
422,Barcelona (I)
423,Barcelona (I)
424,Barcelona (I)
425,Barcelona (I)
426,Barcelona (II)
427,Barcelona (II)
428,Barcelona (II)
429,Barcelona (II)
430,Barcelona (II)
431,Barcelona (II)
432,Barcelona (II)
433,Barcelona (II)
434,Barcelona (II)
435,Barcelona (II)
436,Barcelona (II)
437,Barcelona (II)
438,Barcelona (II)
439,Barcelona (II)
440,Barcelona (II)
441,Barcelona (II)
442,Barcelona (II)
443,Bilbao
444,Bilbao
445,Bilbao
446,Bilbao
447,Bilbao
448,Bilbao
449,Bilbao
450,Bilbao
451,Bilbao
452,Bilbao
453,Bilbao
454,Bilbao
455,Bilbao
456,Bilbao
457,Bilbao
458,Bilbao
459,Bilbao
460,Rome (I)
461,Rome (I)
462,Rome (I)
463,Rome (I)
464,Rome (I)
465,Rome (I)
466,Rome (I)
467,Rome (I)
468,Rome (I)
469,Rome (I)
470,Rome (I)
471,Rome (I)
472,Rome (I)
473,Rome (I)
474,Rome (I)
475,Rome (I)
476,Rome (I)
477,Rome (II)
478,Rome (II)
479,Rome (II)
480,Rome (II)
481,Rome (II)
482,Rome (II)
483,Rome (II)
484,Rome (II)
485,Rome (II)
486,Rome (II)
487,Rome (II)
488,Rome (II)
489,Rome (II)
490,Rome (II)
491,Rome (II)
492,Rome (II)
493,Rome (II)
494,Milano
495,Milano
496,Milano
497,Milano
498,Milano
499,Milano
500,Milano
501,Milano
502,Milano
503,Milano
504,Milano
505,Milano
506,Milano
507,Milano
508,Milano
509,Milano
510,Milano
511,Bologna
512,Bologna
513,Bologna
514,Bologna
515,Bologna
516,Bologna
517,Bologna
518,Bologna
519,Bologna
520,Bologna
521,Bologna
522,Bologna
523,Bologna
524,Bologna
525,Bologna
526,Bologna
527,Bologna
528,Napoli
529,Napoli
530,Napoli
531,Napoli
532,Napoli
533,Napoli
534,Napoli
535,Napoli
536,Napoli
537,Napoli
538,Napoli
539,Napoli
540,Napoli
541,Napoli
542,Napoli
543,Napoli
544,Napoli
545,Berlin (I)
546,Berlin (I)
547,Berlin (I)
548,Berlin (I)
549,Berlin (I)
550,Berlin (I)
551,Berlin (I)
552,Berlin (I)
553,Berlin (I)
554,Berlin (I)
555,Berlin (I)
556,Berlin (I)
557,Berlin (I)
558,Berlin (I)
559,Berlin (I)
560,Berlin (I)
561,Berlin (I)
562,Berlin (II)
563,Berlin (II)
564,Berlin (II)
565,Berlin (II)
566,Berlin (II)
567,Berlin (II)
568,Berlin (II)
569,Berlin (II)
570,Berlin (II)
571,Berlin (II)
572,Berlin (II)
573,Berlin (II)
574,Berlin (II)
575,Berlin (II)
576,Berlin (II)
577,Berlin (II)
578,Berlin (II)
579,Munich
580,Munich
581,Munich
582,Munich
583,Munich
584,Munich
585,Munich
586,Munich
587,Munich
588,Munich
589,Munich
590,Munich
591,Munich
592,Munich
593,Munich
594,Munich
595,Munich
596,Hamburg
597,Hamburg
598,Hamburg
599,Hamburg
600,Hamburg
601,Hamburg
602,Hamburg
603,Hamburg
604,Hamburg
605,Hamburg
606,Hamburg
607,Hamburg
608,Hamburg
609,Hamburg
610,Hamburg
611,Hamburg
612,Hamburg
613,Frankfurt
614,Frankfurt
615,Frankfurt
616,Frankfurt
617,Frankfurt
618,Frankfurt
619,Frankfurt
620,Frankfurt
621,Frankfurt
622,Frankfurt
623,Frankfurt
624,Frankfurt
625,Frankfurt
626,Frankfurt
627,Frankfurt
628,Frankfurt
629,Frankfurt
630,Cologne
631,Cologne
632,Cologne
633,Cologne
634,Cologne
635,Cologne
636,Cologne
637,Cologne
638,Cologne
639,Cologne
640,Cologne
641,Cologne
642,Cologne
643,Cologne
644,Cologne
645,Cologne
646,Cologne
647,Paris (I)
648,Paris (I)
649,Paris (I)
650,Paris (I)
651,Paris (I)
652,Paris (I)
653,Paris (I)
654,Paris (I)
655,Paris (I)
656,Paris (I)
657,Paris (I)
658,Paris (I)
659,Paris (I)
660,Paris (I)
661,Paris (I)
662,Paris (I)
663,Paris (I)
664,Paris (II)
665,Paris (II)
666,Paris (II)
667,Paris (II)
668,Paris (II)
669,Paris (II)
670,Paris (II)
671,Paris (II)
672,Paris (II)
673,Paris (II)
674,Paris (II)
675,Paris (II)
676,Paris (II)
677,Paris (II)
678,Paris (II)
679,Paris (II)
680,Paris (II)
681,Marseille
682,Marseille
683,Marseille
684,Marseille
685,Marseille
686,Marseille
687,Marseille
688,Marseille
689,Marseille
690,Marseille
691,Marseille
692,Marseille
693,Marseille
694,Marseille
695,Marseille
696,Marseille
697,Marseille
698,Lyon
699,Lyon
700,Lyon
701,Lyon
702,Lyon
703,Lyon
704,Lyon
705,Lyon
706,Lyon
707,Lyon
708,Lyon
709,Lyon
710,Lyon
711,Lyon
712,Lyon
713,Lyon
714,Lyon
715,Bordeaux
716,Bordeaux
717,Bordeaux
718,Bordeaux
719,Bordeaux
720,Bordeaux
721,Bordeaux
722,Bordeaux
723,Bordeaux
724,Bordeaux
725,Bordeaux
726,Bordeaux
727,Bordeaux
728,Bordeaux
729,Bordeaux
730,Bordeaux
731,Bordeaux
732,Nantes
733,Nantes
734,Nantes
735,Nantes
736,Nantes
737,Nantes
738,Nantes
739,Nantes
740,Nantes
741,Nantes
742,Nantes
743,Nantes
744,Nantes
745,Nantes
746,Nantes
747,Nantes
748,Nantes
749,Brussels (I)
750,Brussels (I)
751,Brussels (I)
752,Brussels (I)
753,Brussels (I)
754,Brussels (I)
755,Brussels (I)
756,Brussels (I)
757,Brussels (I)
758,Brussels (I)
759,Brussels (I)
760,Brussels (I)
761,Brussels (I)
762,Brussels (I)
763,Brussels (I)
764,Brussels (I)
765,Brussels (I)
766,Brussels (II)
767,Brussels (II)
768,Brussels (II)
769,Brussels (II)
770,Brussels (II)
771,Brussels (II)
772,Brussels (II)
773,Brussels (II)
774,Brussels (II)
775,Brussels (II)
776,Brussels (II)
777,Brussels (II)
778,Brussels (II)
779,Brussels (II)
780,Brussels (II)
781,Brussels (II)
782,Brussels (II)
783,Antwerp
784,Antwerp
785,Antwerp
786,Antwerp
787,Antwerp
788,Antwerp
789,Antwerp
790,Antwerp
791,Antwerp
792,Antwerp
793,Antwerp
794,Antwerp
795,Antwerp
796,Antwerp
797,Antwerp
798,Antwerp
799,Antwerp
800,Stockholm
801,Stockholm
802,Stockholm
803,Stockholm
804,Stockholm
805,Stockholm
806,Stockholm
807,Stockholm
808,Stockholm
809,Stockholm
810,Stockholm
811,Stockholm
812,Stockholm
813,Stockholm
814,Stockholm
815,Stockholm
816,Stockholm
817,Malmö
818,Malmö
819,Malmö
820,Malmö
821,Malmö
822,Malmö
823,Malmö
824,Malmö
825,Malmö
826,Malmö
827,Malmö
828,Malmö
829,Malmö
830,Malmö
831,Malmö
832,Malmö
833,Malmö
834,Gothenburg
835,Gothenburg
836,Gothenburg
837,Gothenburg
838,Gothenburg
839,Gothenburg
840,Gothenburg
841,Gothenburg
842,Gothenburg
843,Gothenburg
844,Gothenburg
845,Gothenburg
846,Gothenburg
847,Gothenburg
848,Gothenburg
849,Gothenburg
850,Gothenburg
852,London (I)
853,London (I)
854,London (I)
855,London (I)
856,London (I)
857,London (I)
858,London (I)
859,London (I)
860,London (I)
861,London (I)
862,London (I)
863,London (I)
864,London (I)
865,London (I)
866,London (I)
867,London (I)
868,London (I)
869,Manchester
870,Manchester
871,Manchester
872,Manchester
873,Manchester
874,Manchester
875,Manchester
876,Manchester
877,Manchester
878,Manchester
879,Manchester
880,Manchester
881,Manchester
882,Manchester
883,Manchester
884,Manchester
885,Manchester
886,Liverpool
887,Liverpool
888,Liverpool
889,Liverpool
890,Liverpool
891,Liverpool
892,Liverpool
893,Liverpool
894,Liverpool
895,Liverpool
896,Liverpool
897,Liverpool
898,Liverpool
899,Liverpool
900,Liverpool
901,Liverpool
902,Liverpool
903,Birmingham
904,Birmingham
905,Birmingham
906,Birmingham
907,Birmingham
908,Birmingham
909,Birmingham
910,Birmingham
911,Birmingham
912,Birmingham
913,Birmingham
914,Birmingham
915,Birmingham
916,Birmingham
917,Birmingham
918,Birmingham
919,Birmingham
920,Leicester
921,Leicester
922,Leicester
923,Leicester
924,Leicester
925,Leicester
926,Leicester
927,Leicester
928,Leicester
929,Leicester
930,Leicester
931,Leicester
932,Leicester
933,Leicester
934,Leicester
935,Leicester
936,Leicester
937,London (II)
938,London (II)
939,London (II)
940,London (II)
941,London (II)
942,London (II)
943,London (II)
944,London (II)
945,London (II)
946,London (II)
947,London (II)
948,London (II)
949,London (II)
950,London (II)
951,London (II)
952,London (II)
953,London (II)
954,Warsaw (I)
955,Warsaw (I)
956,Warsaw (I)
957,Warsaw (I)
958,Warsaw (I)
959,Warsaw (I)
960,Warsaw (I)
961,Warsaw (I)
962,Warsaw (I)
963,Warsaw (I)
964,Warsaw (I)
965,Warsaw (I)
966,Warsaw (I)
967,Warsaw (I)
968,Warsaw (I)
969,Warsaw (I)
970,Warsaw (I)
971,Warsaw (II)
972,Warsaw (II)
973,Warsaw (II)
974,Warsaw (II)
975,Warsaw (II)
976,Warsaw (II)
977,Warsaw (II)
978,Warsaw (II)
979,Warsaw (II)
980,Warsaw (II)
981,Warsaw (II)
982,Warsaw (II)
983,Warsaw (II)
984,Warsaw (II)
985,Warsaw (II)
986,Warsaw (II)
987,Warsaw (II)
988,Poznan
989,Poznan
990,Poznan
991,Poznan
992,Poznan
993,Poznan
994,Poznan
995,Poznan
996,Poznan
997,Poznan
998,Poznan
999,Poznan
1000,Poznan
1001,Poznan
1002,Poznan
1003,Poznan
1004,Poznan
1005,Krakow
1006,Krakow
1007,Krakow
1008,Krakow
1009,Krakow
1010,Krakow
1011,Krakow
1012,Krakow
1013,Krakow
1014,Krakow
1015,Krakow
1016,Krakow
1017,Krakow
1018,Krakow
1019,Krakow
1020,Krakow
1021,Krakow
1022,Amsterdam
1023,Amsterdam
1024,Amsterdam
1025,Amsterdam
1026,Amsterdam
1027,Amsterdam
1028,Amsterdam
1029,Amsterdam
1030,Amsterdam
1031,Amsterdam
1032,Amsterdam
1033,Amsterdam
1034,Amsterdam
1035,Amsterdam
1036,Amsterdam
1037,Amsterdam
1038,Amsterdam
1039,Den Haag
1040,Den Haag
1041,Den Haag
1042,Den Haag
1043,Den Haag
1044,Den Haag
1045,Den Haag
1046,Den Haag
1047,Den Haag
1048,Den Haag
1049,Den Haag
1050,Den Haag
1051,Den Haag
1052,Den Haag
1053,Den Haag
1054,Den Haag
1055,Den Haag
1056,Rotterdam
1057,Rotterdam
1058,Rotterdam
1059,Rotterdam
1060,Rotterdam
1061,Rotterdam
1062,Rotterdam
1063,Rotterdam
1064,Rotterdam
1065,Rotterdam
1066,Rotterdam
1067,Rotterdam
1068,Rotterdam
1069,Rotterdam
1070,Rotterdam
1071,Rotterdam
1072,Rotterdam
1073,Groningen
1074,Groningen
1075,Groningen
1076,Groningen
1077,Groningen
1078,Groningen
1079,Groningen
1080,Groningen
1081,Groningen
1082,Groningen
1083,Groningen
1084,Groningen
1085,Groningen
1086,Groningen
1087,Groningen
1088,Groningen
1089,Groningen
1090,Prague (I)
1091,Prague (I)
1092,Prague (I)
1093,Prague (I)
1094,Prague (I)
1095,Prague (I)
1096,Prague (I)
1097,Prague (I)
1098,Prague (I)
1099,Prague (I)
1100,Prague (I)
1101,Prague (I)
1102,Prague (I)
1103,Prague (I)
1104,Prague (I)
1105,Prague (I)
1106,Prague (I)
1107,Brno
1108,Brno
1109,Brno
1110,Brno
1111,Brno
1112,Brno
1113,Brno
1114,Brno
1115,Brno
1116,Brno
1117,Brno
1118,Brno
1119,Brno
1120,Brno
1121,Brno
1122,Brno
1123,Brno
1124,Ostrava
1125,Ostrava
1126,Ostrava
1127,Ostrava
1128,Ostrava
1129,Ostrava
1130,Ostrava
1131,Ostrava
1132,Ostrava
1133,Ostrava
1134,Ostrava
1135,Ostrava
1136,Ostrava
1137,Ostrava
1138,Ostrava
1139,Ostrava
1140,Ostrava
1141,Prague (II)
1142,Prague (II)
1143,Prague (II)
1144,Prague (II)
1145,Prague (II)
1146,Prague (II)
1147,Prague (II)
1148,Prague (II)
1149,Prague (II)
1150,Prague (II)
1151,Prague (II)
1152,Prague (II)
1153,Prague (II)
1154,Prague (II)
1155,Prague (II)
1156,Prague (II)
1157,Prague (II)
1158,Copenhagen (I)
1159,Copenhagen (I)
1160,Copenhagen (I)
1161,Copenhagen (I)
1162,Copenhagen (I)
1163,Copenhagen (I)
1164,Copenhagen (I)
1165,Copenhagen (I)
1166,Copenhagen (I)
1167,Copenhagen (I)
1168,Copenhagen (I)
1169,Copenhagen (I)
1170,Copenhagen (I)
1171,Copenhagen (I)
1172,Copenhagen (I)
1173,Copenhagen (I)
1174,Copenhagen (I)
1175,Copenhagen (II)
1176,Copenhagen (II)
1177,Copenhagen (II)
1178,Copenhagen (II)
1179,Copenhagen (II)
1180,Copenhagen (II)
1181,Copenhagen (II)
1182,Copenhagen (II)
1183,Copenhagen (II)
1184,Copenhagen (II)
1185,Copenhagen (II)
1186,Copenhagen (II)
1187,Copenhagen (II)
1188,Copenhagen (II)
1189,Copenhagen (II)
1190,Copenhagen (II)
1191,Copenhagen (II)
1192,Aalborg (I)
1193,Aalborg (I)
1194,Aalborg (I)
1195,Aalborg (I)
1196,Aalborg (I)
1197,Aalborg (I)
1198,Aalborg (I)
1199,Aalborg (I)
1200,Aalborg (I)
1201,Aalborg (I)
1202,Aalborg (I)
1203,Aalborg (I)
1204,Aalborg (I)
1205,Aalborg (I)
1206,Aalborg (I)
1207,Aalborg (I)
1208,Aalborg (I)
1209,Aalborg (II)
1210,Aalborg (II)
1211,Aalborg (II)
1212,Aalborg (II)
1213,Aalborg (II)
1214,Aalborg (II)
1215,Aalborg (II)
1216,Aalborg (II)
1217,Aalborg (II)
1218,Aalborg (II)
1219,Aalborg (II)
1220,Aalborg (II)
1221,Aalborg (II)
1222,Aalborg (II)
1223,Aalborg (II)
1224,Aalborg (II)
1225,Aalborg (II)
1226,Madrid (I)
1227,Madrid (I)
1228,Madrid (I)
1229,Madrid (I)
1230,Madrid (I)
1231,Madrid (I)
1232,Madrid (I)
1233,Madrid (I)
1234,Madrid (I)
1235,Madrid (I)
1236,Madrid (I)
1237,Madrid (I)
1238,Madrid (I)
1239,Madrid (I)
1240,Madrid (I)
1241,Madrid (I)
1242,Madrid (I)
1243,Madrid (II)
1244,Madrid (II)
1245,Madrid (II)
1246,Madrid (II)
1247,Madrid (II)
1248,Madrid (II)
1249,Madrid (II)
1250,Madrid (II)
1251,Madrid (II)
1252,Madrid (II)
1253,Madrid (II)
1254,Madrid (II)
1255,Madrid (II)
1256,Madrid (II)
1257,Madrid (II)
1258,Madrid (II)
1259,Madrid (II)
1260,Barcelona (I)
1261,Barcelona (I)
1262,Barcelona (I)
1263,Barcelona (I)
1264,Barcelona (I)
1265,Barcelona (I)
1266,Barcelona (I)
1267,Barcelona (I)
1268,Barcelona (I)
1269,Barcelona (I)
1270,Barcelona (I)
1271,Barcelona (I)
1272,Barcelona (I)
1273,Barcelona (I)
1274,Barcelona (I)
1275,Barcelona (I)
1276,Barcelona (I)
1277,Barcelona (II)
1278,Barcelona (II)
1279,Barcelona (II)
1280,Barcelona (II)
1281,Barcelona (II)
1282,Barcelona (II)
1283,Barcelona (II)
1284,Barcelona (II)
1285,Barcelona (II)
1286,Barcelona (II)
1287,Barcelona (II)
1288,Barcelona (II)
1289,Barcelona (II)
1290,Barcelona (II)
1291,Barcelona (II)
1292,Barcelona (II)
1293,Barcelona (II)
1294,Bilbao
1295,Bilbao
1296,Bilbao
1297,Bilbao
1298,Bilbao
1299,Bilbao
1300,Bilbao
1301,Bilbao
1302,Bilbao
1303,Bilbao
1304,Bilbao
1305,Bilbao
1306,Bilbao
1307,Bilbao
1308,Bilbao
1309,Bilbao
1310,Bilbao
1311,Rome (I)
1312,Rome (I)
1313,Rome (I)
1314,Rome (I)
1315,Rome (I)
1316,Rome (I)
1317,Rome (I)
1318,Rome (I)
1319,Rome (I)
1320,Rome (I)
1321,Rome (I)
1322,Rome (I)
1323,Rome (I)
1324,Rome (I)
1325,Rome (I)
1326,Rome (I)
1327,Rome (I)
1328,Rome (II)
1329,Rome (II)
1330,Rome (II)
1331,Rome (II)
1332,Rome (II)
1333,Rome (II)
1334,Rome (II)
1335,Rome (II)
1336,Rome (II)
1337,Rome (II)
1338,Rome (II)
1339,Rome (II)
1340,Rome (II)
1341,Rome (II)
1342,Rome (II)
1343,Rome (II)
1344,Rome (II)
1345,Milano
1346,Milano
1347,Milano
1348,Milano
1349,Milano
1350,Milano
1351,Milano
1352,Milano
1353,Milano
1354,Milano
1355,Milano
1356,Milano
1357,Milano
1358,Milano
1359,Milano
1360,Milano
1361,Milano
1362,Bologna
1363,Bologna
1364,Bologna
1365,Bologna
1366,Bologna
1367,Bologna
1368,Bologna
1369,Bologna
1370,Bologna
1371,Bologna
1372,Bologna
1373,Bologna
1374,Bologna
1375,Bologna
1376,Bologna
1377,Bologna
1378,Bologna
1379,Napoli
1380,Napoli
1381,Napoli
1382,Napoli
1383,Napoli
1384,Napoli
1385,Napoli
1386,Napoli
1387,Napoli
1388,Napoli
1389,Napoli
1390,Napoli
1391,Napoli
1392,Napoli
1393,Napoli
1394,Napoli
1395,Napoli
1396,Berlin (I)
1397,Berlin (I)
1398,Berlin (I)
1399,Berlin (I)
1400,Berlin (I)
1401,Berlin (I)
1402,Berlin (I)
1403,Berlin (I)
1404,Berlin (I)
1405,Berlin (I)
1406,Berlin (I)
1407,Berlin (I)
1408,Berlin (I)
1409,Berlin (I)
1410,Berlin (I)
1411,Berlin (I)
1412,Berlin (I)
1413,Berlin (II)
1414,Berlin (II)
1415,Berlin (II)
1416,Berlin (II)
1417,Berlin (II)
1418,Berlin (II)
1419,Berlin (II)
1420,Berlin (II)
1421,Berlin (II)
1422,Berlin (II)
1423,Berlin (II)
1424,Berlin (II)
1425,Berlin (II)
1426,Berlin (II)
1427,Berlin (II)
1428,Berlin (II)
1429,Berlin (II)
1430,Munich
1431,Munich
1432,Munich
1433,Munich
1434,Munich
1435,Munich
1436,Munich
1437,Munich
1438,Munich
1439,Munich
1440,Munich
1441,Munich
1442,Munich
1443,Munich
1444,Munich
1445,Munich
1446,Munich
1447,Hamburg
1448,Hamburg
1449,Hamburg
1450,Hamburg
1451,Hamburg
1452,Hamburg
1453,Hamburg
1454,Hamburg
1455,Hamburg
1456,Hamburg
1457,Hamburg
1458,Hamburg
1459,Hamburg
1460,Hamburg
1461,Hamburg
1462,Hamburg
1463,Hamburg
1464,Frankfurt
1465,Frankfurt
1466,Frankfurt
1467,Frankfurt
1468,Frankfurt
1469,Frankfurt
1470,Frankfurt
1471,Frankfurt
1472,Frankfurt
1473,Frankfurt
1474,Frankfurt
1475,Frankfurt
1476,Frankfurt
1477,Frankfurt
1478,Frankfurt
1479,Frankfurt
1480,Frankfurt
1481,Cologne
1482,Cologne
1483,Cologne
1484,Cologne
1485,Cologne
1486,Cologne
1487,Cologne
1488,Cologne
1489,Cologne
1490,Cologne
1491,Cologne
1492,Cologne
1493,Cologne
1494,Cologne
1495,Cologne
1496,Cologne
1497,Cologne
1498,Paris (I)
1499,Paris (I)
1500,Paris (I)
1501,Paris (I)
1502,Paris (I)
1503,Paris (I)
1504,Paris (I)
1505,Paris (I)
1506,Paris (I)
1507,Paris (I)
1508,Paris (I)
1509,Paris (I)
1510,Paris (I)
1511,Paris (I)
1512,Paris (I)
1513,Paris (I)
1514,Paris (I)
1515,Paris (II)
1516,Paris (II)
1517,Paris (II)
1518,Paris (II)
1519,Paris (II)
1520,Paris (II)
1521,Paris (II)
1522,Paris (II)
1523,Paris (II)
1524,Paris (II)
1525,Paris (II)
1526,Paris (II)
1527,Paris (II)
1528,Paris (II)
1529,Paris (II)
1530,Paris (II)
1531,Paris (II)
1532,Marseille
1533,Marseille
1534,Marseille
1535,Marseille
1536,Marseille
1537,Marseille
1538,Marseille
1539,Marseille
1540,Marseille
1541,Marseille
1542,Marseille
1543,Marseille
1544,Marseille
1545,Marseille
1546,Marseille
1547,Marseille
1548,Marseille
1549,Lyon
1550,Lyon
1551,Lyon
1552,Lyon
1553,Lyon
1554,Lyon
1555,Lyon
1556,Lyon
1557,Lyon
1558,Lyon
1559,Lyon
1560,Lyon
1561,Lyon
1562,Lyon
1563,Lyon
1564,Lyon
